,altitude_above_seaLevel(feet), compass_heading(degrees),latitude,longitude
1866,2151.582601659,357.9,40.2689499474695,-7.50204886722182
1867,2151.582601659,357.9,40.2689498190699,-7.50204879357259
1868,2151.254517659,357.8,40.2689496293888,-7.50204873249761
1869,2151.254517659,357.8,40.2689494791029,-7.50204869836748
1870,2151.254517659,357.8,40.2689489607106,-7.50204884279183
1871,2150.926433659,357.7,40.2689488600337,-7.50204886326991
1872,2151.254517659,357.6,40.2689487520613,-7.50204888590358
1873,2150.926433659,357.5,40.2689486855687,-7.50204891284842
1874,2150.926433659,357.5,40.2689486682681,-7.50204893655988
1875,2150.926433659,357.5,40.2689484410676,-7.50204902745382
1876,2150.926433659,357.6,40.2689485092277,-7.50204910218084
1877,2150.926433659,357.6,40.2689485655068,-7.50204918337463
1878,2151.254517659,357.7,40.2689486011501,-7.50204928684283
1879,2151.254517659,357.8,40.268948664933,-7.50204947330113
1880,2151.254517659,357.7,40.2689486768142,-7.5020495293464
1881,2151.254517659,357.7,40.2689486930725,-7.50204957784712
1882,2151.582601659,357.7,40.2689487274653,-7.50204964107768
1883,2151.582601659,357.7,40.2689487714463,-7.50204969353031
1884,2151.254517659,357.7,40.2689488273084,-7.50204971939735
1885,2151.582601659,357.7,40.2689488739992,-7.50204974131249
1886,2151.582601659,357.6,40.2689489129776,-7.50204977149072
1887,2151.582601659,357.5,40.2689489158958,-7.50204987747376
1888,2151.254517659,357.4,40.2689489104763,-7.50204989220361
1889,2151.254517659,357.4,40.2689489152705,-7.50204990298154
1890,2151.582601659,357.4,40.2689489407003,-7.50204987927008
1891,2151.582601659,357.4,40.2689489707157,-7.50204986454024
1892,2151.582601659,357.5,40.2689490768121,-7.50204990082595
1893,2151.582601659,357.6,40.2689491109964,-7.50204991160389
1894,2151.582601659,357.6,40.2689491385106,-7.50204992202256
1895,2151.910685659,357.6,40.2689491453892,-7.50204990262228
1896,2151.582601659,357.6,40.2689491260042,-7.5020498598698
1897,2151.582601659,357.6,40.2689491047432,-7.50204978298718
1898,2151.582601659,357.6,40.2689490797303,-7.5020497179603
1899,2151.582601659,357.5,40.2689490688914,-7.5020496489815
1900,2151.582601659,357.4,40.2689490513823,-7.50204969891927
1901,2151.582601659,357.2,40.2689491493495,-7.50204965868164
1902,2151.254517659,357.1,40.2689493830117,-7.50204964970003
1903,2151.582601659,357.0,40.2689497302741,-7.50204965796311
1904,2151.582601659,357.0,40.2689501892608,-7.50204979556144
1905,2151.582601659,357.0,40.2689508618994,-7.50204983256569
1906,2151.910685659,357.1,40.268951814474,-7.5020498771145
1907,2151.910685659,357.1,40.2689529098306,-7.50204992741153
1908,2151.582601659,357.2,40.2689542857485,-7.50204999746812
1909,2151.582601659,357.2,40.2689560406119,-7.50205010596602
1910,2151.582601659,357.2,40.2689578836457,-7.50205016057423
1911,2151.582601659,357.0,40.2689597827501,-7.50205020188966
1912,2151.582601659,357.0,40.2689619353186,-7.50205022596038
1913,2151.582601659,357.0,40.2689644645396,-7.50205019183025
1914,2151.582601659,357.0,40.268967193447,-7.50205027194624
1915,2151.254517659,357.1,40.268969995934,-7.50205036643282
1916,2151.254517659,357.1,40.2689731321347,-7.50205049648659
1917,2151.254517659,357.0,40.268976522008,-7.50205062654036
1918,2151.254517659,356.9,40.2689800971851,-7.50205073827164
1919,2151.254517659,356.8,40.2689837196783,-7.50205088592937
1920,2151.254517659,356.7,40.2689877534253,-7.50205109430282
1921,2151.254517659,356.7,40.268991948297,-7.50205120567483
1922,2151.582601659,356.6,40.2689962792806,-7.50205143380783
1923,2151.582601659,356.7,40.2690005052101,-7.50205161882907
1924,2151.910685659,356.7,40.2690050615182,-7.50205179738356
1925,2151.582601659,356.7,40.2690094827567,-7.50205198923083
1926,2151.910685659,356.6,40.269014038231,-7.50205214191827
1927,2151.910685659,356.6,40.2690186418553,-7.50205237436244
