,altitude_above_seaLevel(feet), compass_heading(degrees),latitude,longitude,altitude(feet), roll(degrees), pitch(degrees),height_above_takeoff(feet),gimbal_heading(degrees),gimbal_pitch(degrees)
3779,2018.9626144756,308.6,40.2732467704145,-7.49921428176344,2018.9626144756,8.3,2.7,264.435704,308.2,-89.9
3780,2018.9626144756,308.6,40.2732467531139,-7.49921438397549,2018.9626144756,8.5,2.7,264.435704,308.2,-89.9
3781,2018.9626144756,308.6,40.273246754573,-7.49921438631074,2018.9626144756,8.6,2.5,264.435704,308.2,-89.9
3782,2018.9626144756,308.6,40.2732467672879,-7.49921439071179,2018.9626144756,8.6,2.6,264.435704,308.2,-89.9
3783,2018.9626144756,308.6,40.2732467449847,-7.49921439861571,2018.9626144756,8.7,2.9,264.435704,308.2,-89.9
3784,2018.9626144756,308.6,40.2732467141354,-7.49921441029195,2018.9626144756,8.8,2.8,264.435704,308.2,-89.9
3785,2019.2906984756,308.6,40.273246660983,-7.49921445672748,2019.2906984756,8.9,3.0,264.763788,308.2,-89.9
3786,2018.9626144756,308.6,40.2732466741148,-7.49921447388258,2018.9626144756,8.8,3.1,264.435704,308.2,-89.9
3787,2019.2906984756,308.7,40.2732467037134,-7.49921448142723,2019.2906984756,8.7,3.3,264.763788,308.2,-89.9
3788,2019.2906984756,308.6,40.2732467372724,-7.49921448124759,2019.2906984756,8.5,3.5,264.763788,308.2,-89.9
3789,2018.9626144756,308.6,40.2732468014721,-7.49921447990034,2018.9626144756,8.7,3.3,264.435704,308.2,-89.9
3790,2018.9626144756,308.6,40.2732468277357,-7.49921445358388,2018.9626144756,8.4,3.5,264.435704,308.2,-89.9
3791,2018.9626144756,308.6,40.273246833572,-7.49921441226793,2018.9626144756,8.6,3.0,264.435704,308.2,-89.9
3792,2018.9626144756,308.5,40.2732468325298,-7.4992143658324,2018.9626144756,8.5,2.8,264.435704,308.2,-89.9
3793,2018.9626144756,308.6,40.2732467604093,-7.49921432146267,2018.9626144756,8.6,2.9,264.435704,308.2,-89.9
3794,2018.9626144756,308.6,40.2732467520717,-7.49921429056554,2018.9626144756,8.7,3.0,264.435704,308.2,-89.9
3795,2018.9626144756,308.5,40.2732467501957,-7.49921431149296,2018.9626144756,8.6,3.1,264.435704,308.2,-89.9
3796,2018.9626144756,308.5,40.2732467539476,-7.4992143470606,2018.9626144756,8.3,3.0,264.435704,308.2,-89.9
3797,2018.9626144756,308.6,40.2732467470691,-7.49921451591706,2018.9626144756,8.3,3.3,264.435704,308.2,-89.9
3798,2018.9626144756,308.6,40.2732467681216,-7.49921453253325,2018.9626144756,8.4,3.3,264.435704,308.2,-89.9
3799,2018.9626144756,308.6,40.2732468246091,-7.49921449930087,2018.9626144756,8.1,3.3,264.435704,308.2,-89.9
3800,2018.6345304756,308.5,40.2732468973549,-7.49921444343452,2018.6345304756,8.2,3.3,264.10762,308.2,-89.9
3801,2018.6345304756,308.6,40.2732469338321,-7.49921440705853,2018.6345304756,8.0,3.5,264.10762,308.2,-89.9
3802,2018.6345304756,308.6,40.2732470059526,-7.49921432110341,2018.6345304756,7.8,3.5,264.10762,308.2,-89.9
3803,2018.6345304756,308.5,40.2732470278389,-7.49921430538538,2018.6345304756,8.3,3.0,264.10762,308.2,-89.9
3804,2018.9626144756,308.5,40.2732470530602,-7.49921429945744,2018.9626144756,8.3,3.3,264.435704,308.2,-89.9
3805,2018.9626144756,308.5,40.2732470436804,-7.49921430799009,2018.9626144756,8.4,3.4,264.435704,308.2,-89.9
3806,2018.9626144756,308.6,40.2732469882351,-7.49921439035252,2018.9626144756,8.6,3.6,264.435704,308.2,-89.9
3807,2018.9626144756,308.6,40.2732469903195,-7.49921440768725,2018.9626144756,8.7,3.5,264.435704,308.2,-89.9
3808,2018.9626144756,308.5,40.27324700095,-7.49921442187838,2018.9626144756,8.6,3.0,264.435704,308.2,-89.9
3809,2018.9626144756,308.6,40.2732469967812,-7.49921443355463,2018.9626144756,8.8,3.1,264.435704,308.2,-89.9
3810,2018.9626144756,308.6,40.2732470069948,-7.49921447963088,2018.9626144756,8.8,3.1,264.435704,308.2,-89.9
3811,2018.9626144756,308.6,40.2732469546762,-7.49921450657606,2018.9626144756,8.7,2.8,264.435704,308.2,-89.9
3812,2018.9626144756,308.6,40.2732468958958,-7.49921454232334,2018.9626144756,8.6,3.0,264.435704,308.2,-89.9
3813,2018.9626144756,308.5,40.2732468756771,-7.49921455570611,2018.9626144756,8.8,3.0,264.435704,308.2,-89.9
3814,2018.9626144756,308.5,40.2732467908417,-7.4992146165124,2018.9626144756,8.9,3.3,264.435704,308.2,-89.9
3815,2018.9626144756,308.5,40.2732468083507,-7.49921465818761,2018.9626144756,8.9,3.4,264.435704,308.2,-89.9
3816,2018.9626144756,308.5,40.2732468381577,-7.4992147111798,2018.9626144756,8.8,3.7,264.435704,308.2,-89.9
3817,2018.9626144756,308.6,40.2732468358649,-7.49921473749626,2018.9626144756,8.8,3.8,264.435704,308.2,-89.9
3818,2018.9626144756,308.6,40.2732468233584,-7.49921475474118,2018.9626144756,8.8,3.7,264.435704,308.2,-89.9
3819,2018.9626144756,308.6,40.2732468294032,-7.49921479704511,2018.9626144756,8.6,3.8,264.435704,308.2,-89.9
3820,2018.9626144756,308.6,40.2732468475376,-7.49921478429106,2018.9626144756,8.6,3.8,264.435704,308.2,-89.9
3821,2018.9626144756,308.6,40.27324686192,-7.49921483925922,2018.9626144756,8.6,3.8,264.435704,308.2,-89.9
3822,2018.9626144756,308.5,40.2732468815134,-7.49921491120286,2018.9626144756,8.8,3.7,264.435704,308.2,-89.9
3823,2018.9626144756,308.5,40.2732470026176,-7.49921510170528,2018.9626144756,8.5,3.9,264.435704,308.2,-89.9
3824,2018.9626144756,308.4,40.2732470755718,-7.49921514356013,2018.9626144756,8.3,4.0,264.435704,308.2,-89.9
3825,2018.9626144756,308.4,40.2732471147587,-7.49921513233297,2018.9626144756,8.3,4.2,264.435704,308.2,-89.9
3826,2018.9626144756,308.5,40.2732471447742,-7.49921509811259,2018.9626144756,8.1,4.1,264.435704,308.2,-89.9
3827,2018.6345304756,308.5,40.2732470820335,-7.49921505329377,2018.6345304756,8.2,3.9,264.10762,308.2,-89.9
3828,2018.6345304756,308.5,40.2732470909965,-7.49921503092927,2018.6345304756,8.0,3.7,264.10762,308.2,-89.9
3829,2018.6345304756,308.5,40.2732470884952,-7.49921503057,2018.6345304756,7.9,3.9,264.10762,308.2,-89.9
3830,2018.6345304756,308.6,40.2732470824504,-7.49921503344416,2018.6345304756,8.0,4.1,264.10762,308.2,-89.9
3831,2018.3064464756,308.5,40.2732470982919,-7.49921507053869,2018.3064464756,7.7,3.7,263.779536,308.2,-89.9
